time_s,knee_angle_deg
0.978184,5.1356
0.982209,5.2636
0.984221,5.4002
0.988266,5.5326
0.990274,5.6583
0.996352,5.8215
0.997731,5.9458
0.999746,6.1343
1.002853,6.3043
1.006693,6.4879
1.009317,6.6685
1.012613,6.8520
1.015198,7.0643
1.018465,7.2806
1.021585,7.4856
1.024912,7.7019
1.026935,7.9619
1.030184,8.2323
1.034497,8.5181
1.037032,8.8406
1.039501,9.1770
1.043244,9.5566
1.052453,10.7103
1.054935,11.1497
1.058166,11.6316
1.061047,12.0569
1.064013,12.5017
1.066072,12.9738
1.069145,13.3841
1.073315,13.7897
1.076693,14.1518
1.082129,14.8933
1.084161,15.2547
1.087798,15.6252
1.090798,16.0091
1.094257,16.3990
1.096235,16.8218
1.099546,17.2913
1.102683,17.7860
1.105820,18.2674
1.109037,18.7687
1.112450,19.3181
1.114390,19.8480
1.117574,20.4232
1.121152,21.0514
1.124441,21.6170
1.127614,22.1749
1.129594,22.7947
1.132854,23.4311
1.136259,24.0243
1.139675,24.6169
1.142987,25.2677
1.145092,25.8317
1.153849,26.4559
1.156878,28.0318
1.157960,28.1473
1.161149,28.7745
1.162934,29.4166
1.165336,30.0102
1.168186,30.6256
1.172155,31.2959
1.175760,31.9084
1.179823,32.4818
1.181255,33.1643
1.183838,33.7929
1.187415,34.4180
1.190759,35.0570
1.193145,35.7584
1.196039,36.3686
1.199917,37.6200
1.201901,37.7742
1.205522,38.9754
1.208984,39.7042
1.212815,40.3873
1.214417,40.5077
1.216851,41.1710
1.220862,41.8383
1.223364,42.5794
1.227424,43.2498
1.229902,43.9131
1.233399,44.7097
1.236165,45.3955
1.237931,46.0553
1.242501,46.8260
1.245293,47.5241
1.248788,48.1881
1.253551,50.0282
1.256316,50.1690
1.257588,50.8090
1.260552,51.6716
1.263288,51.8336
1.265722,52.5505
1.268247,53.2573
1.272247,54.0290
1.274959,54.7267
1.277489,55.4131
1.280357,56.0582
1.284269,56.8570
1.294422,59.5258
1.295498,59.5897
1.299453,60.2563
1.301209,60.9551
1.305372,61.5707
1.308090,62.1741
1.310673,62.8010
1.314784,64.0614
1.317362,64.7085
1.319691,64.7573
1.323538,65.4700
1.327809,66.7538
1.329009,66.8081
1.332200,68.1618
1.335915,68.8362
1.338745,69.5594
1.343951,70.2311
1.345158,70.3088
1.347741,71.5542
1.350204,71.6255
1.355126,72.3706
